UserName	Email	Password	FirstName	SecondName	LastName	SecondLastName	FPV	CI	Letter	Nationality	BornDate	Genre	ContactEmail	ShowContactEmail	PublicPhone	ShowPublicPhone	ServiceAddress	ShowPublicServiceAddress	Solvent	MunicipalityCarabobo	PhoneCarabobo	CelPhoneCarabobo	State	MunicipalityOutSideCarabobo	PhoneOutSideCarabobo	CelPhoneOutSideCarabobo	UniversityUndergraduate	GraduateDate	MentionUndergraduate	RegisterTitleState	RegisterTitleDate	RegisterNumber	RegisterFolio	RegisterTome	GuildDirector	SixtyFiveOrPlus	GuildCollaborator	PublicEmployee	UniversityProfessor	DateOfLastSolvency	DoubleGuild	CPSM
sfreud	sfreud@colpsi.org.ve	Colpsi2025!	Sigmund	Schlomo	Freud	Nathansohn	1	1000001	E	V	1856-05-06	M	contacto.sfreud@gmail.com	true	0241-1000007	true	Av. Principal, Edif. Psico 1, Miranda	true	true	Miranda	0241-1000007	0414-2000003	-	-	-	-	Stanford	1881-06-01	Social	Carabobo	1882-03-15	1	1	1	true	true	true	true	true	2024-01-15	false	false
cjung	cjung@colpsi.org.ve	Colpsi2025!	Carl	Gustav	Jung	Preiswerk	2	1000002	E	V	1875-07-26	M	contacto.cjung@gmail.com	true	0241-1000014	true	Av. Principal, Edif. Psico 2, Valencia	true	false	Valencia	0241-1000014	0414-2000006	-	-	-	-	UDO	1903-06-01	Comunitaria	Carabobo	1904-03-15	2	2	1	true	true	false	false	false	2024-01-15	false	false
bskinner	bskinner@colpsi.org.ve	Colpsi2025!	Burrhus	Frederic	Skinner	Burrhus	3	1000003	E	V	1904-03-20	M	contacto.bskinner@gmail.com	true	0241-1000021	true	Av. Principal, Edif. Psico 3, Los Guayos	true	true	Los Guayos	0241-1000021	0414-2000009	-	-	-	-	LUZ	1929-06-01	Laboral	Carabobo	1930-03-15	3	3	1	true	true	false	false	false	2024-01-15	false	false
jpiaget	jpiaget@colpsi.org.ve	Colpsi2025!	Jean	William	Piaget	Jackson	4	1000004	E	V	1896-08-09	M	contacto.jpiaget@gmail.com	true	0241-1000028	true	Av. Principal, Edif. Psico 4, Juan José Mora	true	false	Juan José Mora	0241-1000028	0414-2000012	-	-	-	-	UDO	1919-06-01	Organizacional	Carabobo	1920-03-15	4	4	1	true	true	false	false	true	2024-01-15	false	false
ipavlov	ipavlov@colpsi.org.ve	Colpsi2025!	Ivan	Petrovich	Pavlov	Ivanova	5	1000005	E	V	1849-09-26	M	contacto.ipavlov@gmail.com	true	0241-1000035	true	Av. Principal, Edif. Psico 5, San Joaquín	true	false	San Joaquín	0241-1000035	0414-2000015	-	-	-	-	Harvard	1871-06-01	Educativa	Carabobo	1872-03-15	5	5	1	true	true	true	false	false	2024-01-15	false	false
wjames	wjames@colpsi.org.ve	Colpsi2025!	William	-	James	Walsh	6	1000006	E	V	1842-01-11	M	contacto.wjames@gmail.com	true	0241-1000042	true	Av. Principal, Edif. Psico 6, Los Guayos	true	false	Los Guayos	0241-1000042	0414-2000018	-	-	-	-	ULA	1870-06-01	Conductista	Carabobo	1871-03-15	6	6	1	false	true	false	false	false	2024-01-15	false	false
jwatson	jwatson@colpsi.org.ve	Colpsi2025!	John	Broadus	Watson	Roe	7	1000007	E	V	1878-01-09	M	contacto.jwatson@gmail.com	true	0241-1000049	true	Av. Principal, Edif. Psico 7, Valencia	true	true	Valencia	0241-1000049	0414-2000021	-	-	-	-	Univ. Barcelona	1906-06-01	Cognitiva	Carabobo	1907-03-15	7	7	1	false	true	false	false	true	2024-01-15	false	false
abandura	abandura@colpsi.org.ve	Colpsi2025!	Albert	-	Bandura	-	8	1000008	E	V	1925-12-04	M	contacto.abandura@gmail.com	true	0241-1000056	true	Av. Principal, Edif. Psico 8, San Joaquín	true	true	San Joaquín	0241-1000056	0414-2000024	-	-	-	-	MIT	1947-06-01	Neuropsicología	Carabobo	1948-03-15	8	8	1	false	true	false	true	false	2024-01-15	false	false
amaslow	amaslow@colpsi.org.ve	Colpsi2025!	Abraham	Harold	Maslow	Schilovsky	9	1000009	E	V	1908-04-01	M	contacto.amaslow@gmail.com	true	0241-1000063	true	Av. Principal, Edif. Psico 9, Libertador	true	true	Libertador	0241-1000063	0414-2000027	-	-	-	-	USB	1932-06-01	Neuropsicología	Carabobo	1933-03-15	9	9	1	false	true	true	false	false	2024-01-15	false	false
crogers	crogers@colpsi.org.ve	Colpsi2025!	Carl	Ransom	Rogers	-	10	1000010	E	V	1902-01-08	M	contacto.crogers@gmail.com	true	0241-1000070	true	Av. Principal, Edif. Psico 10, Miranda	true	true	Miranda	0241-1000070	0414-2000030	-	-	-	-	Univ. Barcelona	1926-06-01	Desarrollo	Carabobo	1927-03-15	10	10	1	false	true	false	false	true	2024-01-15	false	false
eerikson	eerikson@colpsi.org.ve	Colpsi2025!	Erik	Homburger	Erikson	Salomonsen	11	1000011	E	V	1902-06-15	M	contacto.eerikson@gmail.com	true	0241-1000077	true	Av. Principal, Edif. Psico 11, Valencia	true	true	Valencia	0241-1000077	0414-2000033	-	-	-	-	UNEXPO	1924-06-01	Laboral	Carabobo	1925-03-15	11	11	1	false	true	false	false	false	2024-01-15	false	false
lvygotsky	lvygotsky@colpsi.org.ve	Colpsi2025!	Lev	Semyonovich	Vygotsky	Vygodsky	12	1000012	E	V	1896-11-17	M	contacto.lvygotsky@gmail.com	true	0241-1000084	true	Av. Principal, Edif. Psico 12, Naguanagua	true	false	Naguanagua	0241-1000084	0414-2000036	-	-	-	-	UNESR	1920-06-01	Comunitaria	Carabobo	1921-03-15	12	12	1	false	true	false	false	false	2024-01-15	false	false
